a1,a2,a3,a4,a5,a6,intercept,T,A,B,C
-3.730469240282952e-12,-9.324949006287196e-10,-3.207441159890253e-07,6.075472195586482e-10,-3.9931074270945906e-13,8.9079998095593e-17,31.25038936116843,11,1.405,0.009,0.0001
-3.736156262451905e-12,-9.339164695700348e-10,-3.2123308368323884e-07,6.084659220432236e-10,-3.999102489077218e-13,8.921292501351949e-17,31.287310801231655,11,1.405,0.0105,0.0001
-3.734284136065789e-12,-9.334484994013781e-10,-3.2107211907053313e-07,6.081633353611598e-10,-3.997127109259533e-13,8.916911049562789e-17,31.275182011225112,11,1.405,0.01,0.0001
-3.739265666782785e-12,-9.346937188821781e-10,-3.2150042922911975e-07,6.087719507480504e-10,-4.0002293889371494e-13,8.922404658125547e-17,31.39061393947877,11,1.455,0.0095,0.0001
-3.7376938704081886e-12,-9.343008213619125e-10,-3.2136528686008485e-07,6.085179936548364e-10,-3.9985718455531847e-13,8.918728627659139e-17,31.380412509100395,11,1.455,0.009,0.0001
-3.742256646775244e-12,-9.354413657426622e-10,-3.217575923907307e-07,6.092539373307995e-10,-4.003368377265327e-13,8.929353202260985e-17,31.41028095739368,11,1.455,0.0105,0.0001
-3.7407778496824e-12,-9.350717149905245e-10,-3.216304460584794e-07,6.090156552653825e-10,-4.001816532494279e-13,8.925917789991377e-17,31.400538494990535,11,1.455,0.01,0.0001
-3.7444737919010196e-12,-9.359955794850452e-10,-3.21948221822545e-07,6.094505862372057e-10,-4.003933363366734e-13,8.929458045303363e-17,31.492577034741174,11,1.505,0.0095,0.0001
-3.7432629876516964e-12,-9.356929181507816e-10,-3.2184411739886e-07,6.092553690726866e-10,-4.002661505847551e-13,8.926641810276332e-17,31.484641358543104,11,1.505,0.009,0.0001
-3.746775346982269e-12,-9.365708927399273e-10,-3.221461085311672e-07,6.09820437370203e-10,-4.0063367497590284e-13,8.934768864802985e-17,31.507924021072938,11,1.505,0.0105,0.0001
-3.7456204763004025e-12,-9.362822129616876e-10,-3.2204681325060823e-07,6.09634689545577e-10,-4.0051288029510084e-13,8.932097897312582e-17,31.500253298015892,11,1.505,0.01,0.0001
-3.748293679324068e-12,-9.369504261717742e-10,-3.222766542896603e-07,6.099379918031245e-10,-4.0065335416252105e-13,8.934290356570598e-17,31.570894813691396,11,1.555,0.0095,0.0001
-3.747396287341142e-12,-9.36726107620433e-10,-3.221994969163111e-07,6.097934694757521e-10,-4.0055928769840723e-13,8.93220920593467e-17,31.564988400937562,11,1.555,0.009,0.0001
-3.749986167853205e-12,-9.373734927729117e-10,-3.2242217372057955e-07,6.102096300940951e-10,-4.008296880606332e-13,8.938183445045854e-17,31.58224230023352,11,1.555,0.0105,0.0001
-3.749153662620337e-12,-9.37165393779555e-10,-3.2235059528120103e-07,6.100759634588577e-10,-4.0074288626018724e-13,8.936266438547405e-17,31.576665341088038,11,1.555,0.01,0.0001
4.798397115230302e-13,1.1994400508003115e-10,4.125619018976553e-08,-2.1524063806685213e-10,2.0783895809504158e-13,-5.775648923454639e-17,50.4476608517097,121,1.305,0.0095,0.0001
3.8495709439855963e-13,9.622646610984968e-11,3.309822653365554e-08,-1.9833069700973637e-10,1.959897461558423e-13,-5.4983986877591536e-17,50.72876451767173,121,1.305,0.009,0.0001
4.210687190890583e-13,1.0525318680163994e-10,3.620308759412138e-08,-2.0462482966535772e-10,2.0033589882532264e-13,-5.599049324408265e-17,50.588620088667554,121,1.305,0.009,0.000130
4.571045561740101e-13,1.1426096307987974e-10,3.930143247057629e-08,-2.10905858517374e-10,2.0467296434534682e-13,-5.699486573738228e-17,50.44875475634811,121,1.305,0.009,0.000160
4.929861492596998e-13,1.232301834242373e-10,4.2386515521078015e-08,-2.1715816976423263e-10,2.0898920063597163e-13,-5.79942289066309e-17,50.30926312283026,121,1.305,0.009,0.000190
5.287646720387976e-13,1.3217363957648986e-10,4.54627366346558e-08,-2.233918008223309e-10,2.132921584217482e-13,-5.899044683519626e-17,50.17008440369753,121,1.305,0.009,0.000220
5.644099935686146e-13,1.4108379978967283e-10,4.852750516602758e-08,-2.296018379032311e-10,2.1757866010357378e-13,-5.998282750672634e-17,50.03133301861395,121,1.305,0.009,0.000250
5.998740886308561e-13,1.4994865933672087e-10,5.1576691929914046e-08,-2.357791964447194e-10,2.218419591329205e-13,-6.096970747999245e-17,49.89314537339192,121,1.305,0.009,0.000280
6.351895399648629e-13,1.5877636283265321e-10,5.4613098375194824e-08,-2.4192969592168305e-10,2.2608621724933514e-13,-6.195209164403244e-17,49.755462574989735,121,1.305,0.009,0.000310
6.703290536114492e-13,1.6756008768336892e-10,5.763437777928778e-08,-2.4804882349083624e-10,2.3030829904450565e-13,-6.2929220310497e-17,49.61839098215198,121,1.305,0.009,0.000340
7.052765494774846e-13,1.7629581439441016e-10,6.063914758426265e-08,-2.5413304877036735e-10,2.3450552384097443e-13,-6.390046188397342e-17,49.481945766144534,121,1.305,0.009,0.000370
7.400356403152181e-13,1.8498444603333332e-10,6.362771841056929e-08,-2.6018447143664226e-10,2.3868011014846356e-13,-6.486645666112379e-17,49.34618167077222,121,1.305,0.009,0.000400
6.705725634583211e-13,1.676209557271027e-10,5.765531289231728e-08,-2.4919034901978415e-10,2.3160680004862996e-13,-6.33139011727663e-17,49.87558696426669,121,1.305,0.0105,0.0001
5.750622191246464e-13,1.4374650552875283e-10,4.944337749569662e-08,-2.321965007650747e-10,2.1971289197321015e-13,-6.053343950124466e-17,50.16313543668356,121,1.305,0.01,0.0001
2.691063848623368e-12,6.726774370781484e-10,2.3137622101692025e-07,-6.096764146804413e-10,4.840289935162851e-13,-1.2229738519152844e-16,45.425499695201,121,1.355,0.0095,0.0001
