	65.0	70.0	75.0	65.0	70.0	75.0	
700.0	31.869	31.348	32.323	18.603	13.714	11.763	
701.0	31.827	31.304	32.283	18.616	13.601	11.754	
702.0	31.785	31.261	32.242	18.605	13.677	11.742	
703.0	31.744	31.218	32.202	18.55	13.664	11.695	
704.0	31.703	31.175	32.162	18.548	13.616	11.689	
705.0	31.662	31.132	32.122	18.593	13.586	11.663	
706.0	31.621	31.09	32.082	18.539	13.595	11.627	
707.0	31.58	31.047	32.042	18.519	13.587	11.625	
708.0	31.54	31.005	32.003	18.499	13.513	11.634	
709.0	31.499	30.963	31.963	18.52	13.555	11.58	
710.0	31.459	30.921	31.924	18.509	13.487	11.628	
711.0	31.419	30.879	31.884	18.491	13.491	11.511	
712.0	31.379	30.838	31.845	18.46	13.43	11.505	
713.0	31.34	30.796	31.806	18.443	13.501	11.532	
714.0	31.3	30.755	31.767	18.434	13.419	11.487	
715.0	31.261	30.714	31.729	18.397	13.433	11.469	
716.0	31.222	30.672	31.69	18.418	13.356	11.374	
717.0	31.183	30.632	31.651	18.408	13.398	11.468	
718.0	31.144	30.591	31.613	18.389	13.347	11.371	
719.0	31.105	30.55	31.575	18.416	13.365	11.461	
720.0	31.067	30.51	31.537	18.332	13.336	11.414	
721.0	31.028	30.469	31.499	18.377	13.311	11.389	
722.0	30.99	30.429	31.461	18.373	13.341	11.365	
723.0	30.952	30.389	31.423	18.316	13.339	11.362	
724.0	30.914	30.349	31.385	18.348	13.267	11.357	
725.0	30.877	30.31	31.348	18.293	13.366	11.278	
726.0	30.839	30.27	31.31	18.343	13.2	11.279	
727.0	30.802	30.231	31.273	18.3	13.25	11.255	
728.0	30.765	30.191	31.235	18.318	13.194	11.255	
729.0	30.727	30.152	31.198	18.272	13.178	11.254	
730.0	30.691	30.113	31.161	18.26	13.183	11.173	
731.0	30.654	30.074	31.124	18.22	13.167	11.208	
732.0	30.617	30.035	31.088	18.247	13.116	11.197	
733.0	30.581	29.997	31.051	18.236	13.152	11.165	
734.0	30.544	29.958	31.014	18.263	13.117	11.143	
735.0	30.508	29.92	30.978	18.212	13.131	11.119	
736.0	30.472	29.881	30.941	18.211	13.114	11.12	
737.0	30.436	29.843	30.905	18.221	13.084	11.153	
738.0	30.401	29.805	30.869	18.175	13.091	11.076	
739.0	30.365	29.767	30.833	18.168	13.067	11.094	
740.0	30.33	29.73	30.797	18.198	13.06	11.074	
741.0	30.294	29.692	30.761	18.146	13.012	11.072	
742.0	30.259	29.655	30.725	18.159	13.021	11.016	
743.0	30.224	29.617	30.69	18.16	13.027	10.987	
744.0	30.189	29.58	30.654	18.128	13.0	11.023	
745.0	30.155	29.543	30.619	18.098	13.023	11.013	
746.0	30.12	29.506	30.583	18.113	12.97	10.981	
747.0	30.085	29.469	30.548	18.112	13.001	10.944	
748.0	30.051	29.432	30.513	18.09	12.967	10.93	
749.0	30.017	29.396	30.478	18.087	12.928	10.902	
750.0	29.983	29.359	30.443	18.026	12.909	10.938	
751.0	29.949	29.323	30.408	18.064	12.892	10.873	
752.0	29.915	29.286	30.373	18.016	12.923	10.846	
753.0	29.881	29.25	30.339	18.042	12.881	10.845	
754.0	29.848	29.214	30.304	18.033	12.862	10.87	
755.0	29.814	29.178	30.269	17.998	12.896	10.794	
756.0	29.781	29.142	30.235	18.017	12.83	10.84	
757.0	29.748	29.107	30.201	18.016	12.778	10.837	
758.0	29.715	29.071	30.167	17.993	12.814	10.794	
759.0	29.682	29.036	30.132	17.991	12.817	10.766	
760.0	29.649	29.0	30.098	17.965	12.743	10.723	
761.0	29.617	28.965	30.065	17.94	12.757	10.727	
762.0	29.584	28.93	30.031	17.968	12.744	10.685	
763.0	29.552	28.895	29.997	17.942	12.757	10.67	
764.0	29.519	28.86	29.963	17.942	12.75	10.703	
765.0	29.487	28.825	29.93	17.928	12.723	10.649	
766.0	29.455	28.79	29.896	17.945	12.732	10.659	
767.0	29.423	28.756	29.863	17.932	12.689	10.658	
768.0	29.391	28.721	29.83	17.898	12.676	10.604	
769.0	29.36	28.687	29.796	17.901	12.684	10.63	
770.0	29.328	28.652	29.763	17.88	12.632	10.573	
771.0	29.297	28.618	29.73	17.839	12.621	10.567	
772.0	29.265	28.584	29.697	17.837	12.664	10.567	
773.0	29.234	28.55	29.664	17.851	12.613	10.567	
774.0	29.203	28.516	29.631	17.831	12.605	10.51	
775.0	29.172	28.483	29.599	17.81	12.584	10.517	
776.0	29.141	28.449	29.566	17.872	12.563	10.49	
777.0	29.11	28.415	29.534	17.813	12.541	10.499	
778.0	29.08	28.382	29.501	17.814	12.507	10.516	
